Phone Name,Price,XMC Price,Total Cost (50% off DPP),Total Cost
Galaxy A26,0.0,9.0,17.5,22.0
moto g stylus - 2025,0.0,9.0,17.5,22.0
motorola edge,0.0,15.0,20.5,28.0
Galaxy A36,0.0,15.0,20.5,28.0
Pixel 9a,4.17,15.0,24.67,32.17
iPhone 14,5.42,15.0,25.92,33.42
moto razr - 2025,8.33,15.0,28.83,36.33
iPhone 16e,8.33,15.0,28.83,36.33
iPhone 15,9.58,15.0,30.08,37.58
Galaxy S25 FE,10.42,15.0,30.92,38.42
Pixel 10,12.5,15.0,33.0,40.5
iPhone 16,13.75,15.0,34.25,41.75
iPhone 15 Plus,13.75,15.0,34.25,41.75
Galaxy S25,16.67,15.0,37.17,44.67
Pixel 9,16.67,15.0,37.17,44.67
iPhone 17,17.92,15.0,38.42,45.92
iPhone 16 Pro,20.83,15.0,41.33,48.83
Pixel 10 Pro,20.83,15.0,41.33,48.83
Galaxy Z Flip7 FE,20.83,15.0,41.33,48.83
Galaxy S25 Edge,20.83,15.0,41.33,48.83
iPhone Air,25.0,17.0,46.5,55.0
Galaxy S25+,25.0,17.0,46.5,55.0
iPhone 15 Pro Max,25.0,17.0,46.5,55.0
iPhone 17 Pro,29.17,17.0,50.67,59.17
Pixel 10 XL,29.17,17.0,50.67,59.17
Galaxy Z Flip7,29.17,17.0,50.67,59.17
iPhone 16 Pro Max,29.17,17.0,50.67,59.17
iPhone 17 Pro Max,33.33,19.0,55.83,65.33
Galaxy S25 Ultra,37.5,19.0,60.0,69.5
Pixel 10 Pro Fold,54.17,19.0,76.67,86.17
Pixel 9 Pro Fold,58.33,19.0,80.83,90.33
Galaxy Z Fold7,66.67,19.0,89.17,98.67
