Phone Name,Price,XMC Price,Total Cost (50% off DPP),Total Cost
Galaxy A26,0.0,9.0,37.5,42.0
moto g stylus - 2025,0.0,9.0,37.5,42.0
motorola edge,0.0,15.0,40.5,48.0
Galaxy A36,0.0,15.0,40.5,48.0
Pixel 9a,4.17,15.0,44.67,52.17
iPhone 14,5.42,15.0,45.92,53.42
moto razr - 2025,8.33,15.0,48.83,56.33
iPhone 16e,8.33,15.0,48.83,56.33
iPhone 15,9.58,15.0,50.08,57.58
Galaxy S25 FE,10.42,15.0,50.92,58.42
Pixel 10,12.5,15.0,53.0,60.5
iPhone 16,13.75,15.0,54.25,61.75
iPhone 15 Plus,13.75,15.0,54.25,61.75
Galaxy S25,16.67,15.0,57.17,64.67
Pixel 9,16.67,15.0,57.17,64.67
iPhone 17,17.92,15.0,58.42,65.92
iPhone 16 Pro,20.83,15.0,61.33,68.83
Pixel 10 Pro,20.83,15.0,61.33,68.83
Galaxy Z Flip7 FE,20.83,15.0,61.33,68.83
Galaxy S25 Edge,20.83,15.0,61.33,68.83
iPhone Air,25.0,17.0,66.5,75.0
Galaxy S25+,25.0,17.0,66.5,75.0
iPhone 15 Pro Max,25.0,17.0,66.5,75.0
iPhone 17 Pro,29.17,17.0,70.67,79.17
Pixel 10 XL,29.17,17.0,70.67,79.17
Galaxy Z Flip7,29.17,17.0,70.67,79.17
iPhone 16 Pro Max,29.17,17.0,70.67,79.17
iPhone 17 Pro Max,33.33,19.0,75.83,85.33
Galaxy S25 Ultra,37.5,19.0,80.0,89.5
Pixel 10 Pro Fold,54.17,19.0,96.67,106.17
Pixel 9 Pro Fold,58.33,19.0,100.83,110.33
Galaxy Z Fold7,66.67,19.0,109.17,118.67
